Lat, Long,
53.48217,-2.24052,
53.47986,-2.25078,
53.48119,-2.22636,
53.49883,-2.25454,
53.46701,-2.28210,
53.48297,-2.32839,
53.45932,-2.16147,
53.44568,-2.30942,
53.52701,-2.18047,
53.45476,-2.13263,
53.40990,-2.17952,
53.49125,-2.09773,
53.40137,-2.15179,
53.53730,-2.11044,
53.38755,-2.34853,
53.59525,-2.29279,
53.60238,-2.16339,
53.48944,-2.28651

