unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"85866A64-BB04-143F-E053-6B04A8C06A15","210000","2019-02-08","WA14 5TT","T","N","F","","13","BARBERRY CLOSE","BROADHEATH","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/85866A64-BB04-143F-E053-6B04A8C06A15/current"
"965B6D91-57D6-95E4-E053-6C04A8C07729","282000","2019-10-04","WA14 5TU","T","N","F","","9","WHINBERRY ROAD","BROADHEATH","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/965B6D91-57D6-95E4-E053-6C04A8C07729/current"
"919FEC05-35B8-9A90-E053-6C04A8C0A300","230000","2019-08-02","WA14 5TU","T","N","F","","12","WHINBERRY ROAD","BROADHEATH","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-35B8-9A90-E053-6C04A8C0A300/current"
"8A78B2AF-C07F-5CB0-E053-6B04A8C0F504","280000","2019-04-30","WA14 5UD","T","N","F","","4","BRAKEN ROAD","WEST TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-C07F-5CB0-E053-6B04A8C0F504/current"
"919FEC05-739F-9A90-E053-6C04A8C0A300","220000","2019-07-30","WA14 5UJ","S","N","F","","6","APPLEMINT CLOSE","BROADHEATH","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-739F-9A90-E053-6C04A8C0A300/current"
"8A78B2AF-C0BA-5CB0-E053-6B04A8C0F504","320000","2019-05-10","WA14 5UL","S","N","F","","94","RIVERBROOK ROAD","WEST TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-C0BA-5CB0-E053-6B04A8C0F504/current"
"8CAC1318-6D56-0253-E053-6B04A8C08E51","198000","2019-05-23","WA14 5UL","S","N","F","","96","RIVERBROOK ROAD","WEST TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6D56-0253-E053-6B04A8C08E51/current"
"87E1551E-5A6E-6405-E053-6C04A8C0B2EE","245000","2019-04-08","WA14 5UP","T","N","F","","36","TURNBULL ROAD","WEST TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5A6E-6405-E053-6C04A8C0B2EE/current"
"8A78B2AF-C499-5CB0-E053-6B04A8C0F504","214500","2019-01-25","WA14 5XG","S","N","L","","8","THURCASTON ROAD","WEST TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-C499-5CB0-E053-6B04A8C0F504/current"
"919FEC05-7759-9A90-E053-6C04A8C0A300","230000","2019-08-09","WA14 5XL","T","N","F","","16","MOUNTSORREL ROAD","WEST TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-7759-9A90-E053-6C04A8C0A300/current"
"8F1B26BD-E42A-53DB-E053-6C04A8C03649","322500","2019-06-28","WA14 5ZE","S","N","F","","216","SINDERLAND ROAD","BROADHEATH","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E42A-53DB-E053-6C04A8C03649/current"
"8F1B26BD-E44A-53DB-E053-6C04A8C03649","225000","2019-06-17","WA14 5ZP","S","N","F","","16","HEATHERMOUNT","BROADHEATH","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8F1B26BD-E44A-53DB-E053-6C04A8C03649/current"
"8A78B2AF-871B-5CB0-E053-6B04A8C0F504","175000","2019-05-01","WA15 0LD","S","N","F","","4","TOLLAND LANE","HALE","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-871B-5CB0-E053-6B04A8C0F504/current"
"87E1551E-577C-6405-E053-6C04A8C0B2EE","316200","2019-03-22","WA15 6AB","S","N","F","","110","SYLVAN AVENUE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-577C-6405-E053-6C04A8C0B2EE/current"
"8A78B2AF-8967-5CB0-E053-6B04A8C0F504","315000","2019-04-16","WA15 6AP","S","N","F","","42","RAVEN ROAD","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-8967-5CB0-E053-6B04A8C0F504/current"
"80E1AA98-0A4D-7BF8-E053-6C04A8C00BF2","285000","2019-01-15","WA15 6AQ","S","N","F","","6","BURTON AVENUE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/80E1AA98-0A4D-7BF8-E053-6C04A8C00BF2/current"
"93E6821E-882C-40FD-E053-6B04A8C0C1DF","306000","2019-06-07","WA15 6AR","S","N","L","","172","WOODHOUSE LANE EAST","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821E-882C-40FD-E053-6B04A8C0C1DF/current"
"87E1551E-276A-6405-E053-6C04A8C0B2EE","304315","2019-04-12","WA15 6AT","S","N","F","","2","FAIRBOURNE DRIVE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","A","http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-276A-6405-E053-6C04A8C0B2EE/current"
"93E6821F-326C-40FD-E053-6B04A8C0C1DF","268000","2019-07-25","WA15 6AT","S","N","F","","21","FAIRBOURNE DRIVE","TIMPERLEY","ALTRINCHAM","TRAFFORD","GREATER MANCHESTER","B","http://landregistry.data.gov.uk/data/ppi/transaction/93E6821F-326C-40FD-E053-6B04A8C0C1DF/current"
